record_id,county_raw,canonical_counties,coverage_scope,region_raw,confidence,evidence
notice-2673caf8f0f6,Statewide,Atlantic|Burlington|Mercer|Middlesex|Monmouth|Ocean,MULTI_COUNTY,,MEDIUM,"title:""Middlesex Counties"" | title:""Counties of Atlantic, Burlington and Mercer"" | title:""Monmouth, Ocean and Middlesex Counties"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-76c9504e2fec,Statewide,Essex|Mercer|Middlesex|Monmouth|Morris|Ocean|Passaic,MULTI_COUNTY,,MEDIUM,"title:""County of Essex"" | title:""County of Passaic"" | title:""Middlesex County"" | title:""Ocean Counties"" | title:""Passaic County"" | title:""Morris County"" | title:""Monmouth & Middlesex County"" | title:""Mercer, Monmouth, and Ocean Counties"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-d4e9e5626cac,Statewide,Camden|Essex|Gloucester|Hudson|Morris|Passaic,MULTI_COUNTY,,MEDIUM,"title:""County of Essex"" | title:""County of Passaic"" | title:""Camden County"" | title:""Gloucester County"" | title:""Passaic County"" | title:""Morris County"" | title:""Hudson County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-48ad038a7bb7,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-d19f0847c7c0,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-profserv"" identifies a bi-state agency"
notice-460f237db082,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-profserv"" identifies a bi-state agency"
notice-1c11b169bb5a,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-profserv"" identifies a bi-state agency"
notice-148c9196c9dc,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-construction"" identifies a bi-state agency"
notice-1b8256d491a1,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-construction"" identifies a bi-state agency"
notice-7d6741063723,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-d3255d2f1781,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-49c8d3fb38dc,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-23117ee3c87c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-e37011c729a1,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-cc256a9e6b17,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-3d32f8fccfac,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-1916bf81ad7a,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-329d3964b819,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-ab34202c15b5,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-94286c1c86ab,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-bb3df162c1aa,Statewide,Hudson,SINGLE_COUNTY,,MEDIUM,"title:""Hudson County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-4a527682cf3f,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-19ad16719337,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-d9b2d3d5c8b4,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-ba6ed97b54cf,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-457f28a885af,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-16519ad31762,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-8e5c06205bf9,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-02a995ef00c5,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-f265e6ef0d50,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-542b8b4e7fdb,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-338cff2bf4a9,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-0495cd66303c,Statewide,Somerset,SINGLE_COUNTY,,MEDIUM,"title:""Somerset County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-ee7661874fd2,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-4c1ef6156c34,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-174243c2238b,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-befd4df59960,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-3cfa607ccc8b,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-7d3b7faf5dd4,Statewide,,REGIONAL,Central,LOW,"region_raw=""Central"" retained without county expansion (R-04)"
notice-34474d9c8a0c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-6d118946ae4c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-b4c73cac35db,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-238005760179,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-90f5091e6747,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-beccbfa0a875,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-0e67e1a2ccc2,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-ec3b32132a08,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
